,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,116.0,KCB,16143.0,16942.0,"CAIF ""Enanitos Verdes""",Ciudad de Young y Proy. 12,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,117.0,KCB,16943.0,17772.0,Capilla Santa Elena,B. Goyeneche y Bolivar,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,118.0,KCB,17773.0,18672.0,Salón Com. Barrio Gamundi,Uruguay esq. Enrique Chaplin,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,119.0,KCB,18673.0,19415.0,Escuela No. 11,R. Ballet y E. Chaplin,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,120.0,KCB,19416.0,20062.0,Escuela No. 11,R. Ballet y E. Chaplin,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,121.0,KCB,20063.0,20755.0,Escuela No. 11,R. Ballet y E. Chaplin,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,122.0,KCB,20756.0,21490.0,Escuela No. 11,R. Ballet y E. Chaplin,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,123.0,KCB,21491.0,22251.0,Oratorio Zona Este,R. Ballet y E. Chaplin,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,124.0,KCB,22252.0,22864.0,Oratorio Zona Este,R. Ballet y E. Chaplin,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,125.0,KCB,22865.0,23516.0,Salón Comunal Barrio I24,E. Chaplin y 25 de Mayo,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,126.0,KCB,23517.0,24175.0,Escuela No. 71,Enrique Chaplin y Canelones,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,127.0,KCB,24176.0,24816.0,Escuela No. 71,Enrique Chaplin y Canelones,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,128.0,KCB,24817.0,25414.0,Escuela No. 71,Enrique Chaplin y Canelones,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,129.0,KCB,25415.0,25982.0,UTU - CEA Escuela 71,Proyectada 200 y Canelones,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,400.0,,,130.0,KCB,25983.0,26573.0,UTU - CEA Escuela 71,Proyectada 200 y Canelones,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
